truku	zh	en	fr	headword
Tgsai bi pnkari truku kika emptduwa embahang kana drudan da.	你必須用太魯閣語教學，這樣所有的長者才能聽懂。	You must teach in the Taroko language, so that all the elders will be able to understand.	Il faut que tu enseignes en langue taroko, ainsi tous les anciens pourront comprendre.	KARI
Balay bi pnbaga ka kari na.	說實在的，他是用手在說話。	To tell the truth, he speaks with his hands.	A vrai dire il parle avec les mains.	KARI
Uxay pnemaxal ta lubuy msa ka pngkari su nanak?	你的承諾（你的話）不是告訴過我們每人十袋嗎？	Did your promise (your word) not tell us that it would be ten sacks per person?	Ta promesse (ta parole) ne nous avait elle pas dit que ce serait dix sacs par personne ?	KARI
Luhay naqih seejiq ka smkari.	失信是無賴之徒的習性。	It is the habit of good-for-nothings to break their word.	C'est l'habitude des vauriens que de manquer à leur parole.	KARI
Kacing lubuy.	乳牛。	Dairy cow.	Vache laitière.	KATING
Kacing damay.	馬。	Horse.	Cheval.	KATING
Kacing bukuh	駱駝。	Camel.	Chameau.	KATING
Wawa kacing.	小牛。	Calf.	Veau.	KATING
Giyas kacing.	小母牛。	Heifer.	Génisse.	KATING
Biyuq unuh kacing.	牛奶。	Cow's milk.	Lait de vache.	KATING
Quci kacing.	牛糞。	Cow dung.	Bouse.	KATING
Kingal kari su, kasi ku malu ka yaku da.	你只要一句命令，（就會使）我痊癒。	A single order from you (will make it so) that I shall be healed.	Un seul ordre de toi (fera) que je serai guéri.	KASI
Ma namu mkasi banasi da! Usa nanak qmpah da!	你們怎麼在那裡閒聊起來了？快去工作！	What has gotten into you, standing there chattering? Go and work!	Qu'est ce qui vous prend d'être là à papoter ? Allez donc travailler !	KASI
Kaway bi empstrung su rklit muda dgiyaq da!	你等著瞧（威脅語）！你過山的時候會遇上雲豹。	You'll see (a threat)! You are going to meet the leopard as you pass through the mountains.	Tu vas voir (menace) ! Tu vas rencontrer le léopard en passant par la montagne.	KAWAI
Nasi su musa do, mha nami snkaway sunan kana.	如果你要走，我們全都要去送你（向你道別）。	If you leave, we will all go to accompany you (to say goodbye to you).	Si tu pars, nous allons tous t'accompagner (pour te dire au revoir).	SNKAWAI
Mntucing shkawas ka laqi Ribix.	Ribix的孩子去年出生（落地）。	Ribix's child was born (fell) last year.	L'enfant de Libish est né (est tombé) l'an passé.	KAWAS
Shkawas ka mntucing (ka) laqi Ribix.	Ribix的孩子是去年出生的。	It was last year that Ribix's child was born.	C'est l'an passé qu'est né l'enfant de Libish.	KAWAS
Shkawas seuxal.	往昔的歲月。	The years of long ago.	Les années d'autrefois.	KAWAS
Hkawas ka saun misu mita.	我明年才會去看你。	It is next year that I will go to see you.	C'est l'an prochain que j'irai te voir.	KAWAS
Hkawas ni hkawas duri.	後年（兩年後）。	The year after next (in two years).	L'année après celle ci (dans deux ans).	KAWAS
Kawas kawas o, ida kiya.	每年（年復一年）都是一樣。	Every year (year after year) it is the same thing.	Chaque année (année après année) c'est la même chose.	KAWAS
Ya piya hngkawas na ka tama mu o, ini mu klai! Hmut lala bi.	我父親可能有多少歲，我不知道！他的歲數太多了！（註：有時也聽到SXKAWAS用來表示「去年」。）	How many years old my father might be, I do not know! He has so many! (n.b. One sometimes hears SXKAWAS to say: last year.)	Combien d'années pourrait avoir mon père, je ne le sais pas ! Il en a tellement ! (nb. On entend parfois : SXKAWAS pour dire : L'an passé.).	KAWAS
Keiyaw bi aji namu tjiyal pneutuxan.	你們要保持警醒，免得受騙（免得被人弄昏了頭）。（詞根：EYAO不太可能！）	Stay awake so as not to let yourselves be deceived (so that no one makes you lose your head). (Root: EYAO unlikely!)	Restez éveillés pour ne pas vous laisser tromper (pour qu'on ne vous fasse pas perdre la tête). (R.: EYAO peu probable !).	KAYAO
Aji namu dhqun supu knan meiyaw.	你們沒辦法跟我一起守夜！	You will not manage to stay awake with me!	Vous n'arriverez pas à veiller avec moi !	KAYAO
Pkeiyaw brbirat mu kdjiyax ka sbhuran da.	這颳風的天氣讓我的耳朵一直保持警醒（讓我睡不著）。	This windy weather keeps my ears constantly on the alert (does not let me sleep).	Ce temps de vent me tient les oreilles toujours en éveil (ne me laisse pas dormir).	KAYAO
Hidaw pada sida o, yahi ku bi pkeiyaw.	在「山羌的太陽」出現時（山頂剛露出第一道曙光時），一定要來叫醒我！	At the moment of the chamois' sun (at the very first light on the mountain tops), come and wake me without fail!	Au moment du soleil du chamoix (aux toutes premières lueurs sur les cimes), viens me réveiller sans faute !	KAYAO
Jiyax jiyax o, bsiyaq bi kayagan na ka hiya.	每天他都守夜守很久。	Every day, he stays awake for a very long time.	Chaque jour, il veille très longtemps.	KAYAO
Sai pstutuy lqlaqi da, baka bi kayagan da.	去叫孩子們起床；該起床了（該被叫醒了）（註：有時也聽到Kayagan而非k'yagan）。	Go get the children up; it is time to get up (to be awakened) (n.b. One also sometimes hears Kayagan instead of k'yagan).	Va faire lever les enfants ; il est temps de se lever (d'être réveillé) (nb. On entend aussi parfois : Kayagan au lieu de : k'yagan).	KAYAO
Keeman kiya.	今晚，即將來臨的這個夜晚。	Tonight, this coming night.	Ce soir, cette nuit qui vient.	KA'MAN
Keeman bi da! Nta sapah da.	天真的黑了，我們回家吧。	It is really dark now; let us go home.	Il fait vraiment nuit maintenant, allons à la maison.	KA'MAN
Mkeeman ka qmpahan mu trabus.	我的花生田長滿了雜草。	My peanut field is full of weeds.	Mon champ d'arachides est plein de mauvaise herbe.	KA'MAN
Empkeeman knuwan da hu!	到底什麼時候才會天黑！	When on earth is it going to get dark!	Quand est ce donc qu'il va faire nuit !	KA'MAN
Skeeman seuxal.	很久以前的一個夜晚。	A night long ago.	Une nuit d'il y a longtemps.	KA'MAN
Mntaqi su inu skeeman?	你昨晚睡在哪裡？	Where did you sleep last night?	Où as tu dormi la nuit dernière ?	KA'MAN
Naqih bi uda na ka elug ta shiga, ya sa paru knkmanan na sida.	我們昨天的路真不好走！天實在太黑了！	Our road yesterday was not easy to walk! It was really far too dark!	Elle n'était pas facile à marcher notre route de hier ! Il faisait vraiment trop nuit !	KA'MAN
Bnhangan mu kari o, ana hidaw ida pnkmanun ka nxal, msa.	我聽人說過，據說在很久很久以後，連太陽也將變暗。	What I have heard said affirms that even the sun will be darkened, a very long time from now.	Ce que j'ai entendu dire, assure que même le soleil sera obscurci, dans très longtemps.	KA'MAN
Mnusa ku qmburung payay sapah ama mu.	我去女婿家收割稻穀了。	I went to harvest the rice grain at my son-in-law's house.	Je suis aller récolter la graine de riz chez mon gendre.	KBOLONG
Aji biyaw ka qbrungan payay da, kika niqun ta uqun duri da.	不久就是收割稻子的時候，那時我們又有得吃了。	Before long it will be the rice harvest, and then we will again have something to eat.	Avant peu ce sera la moisson du riz, et nous aurons alors de nouveau à manger.	KBOLONG
Maxal nami mnswayi, spat ka qbsuran mu rima ka swayi.	我們兄弟姊妹十人：四個比我年長，五個比我年幼。	We are ten brothers and sisters: four are older than I and five are younger.	Nous sommes dix frères et soeurs : quatre sont mes aînés et cinq mes cadets.	KBSULAN
Snaw? Kuyuh hu; Ima namu bi ka qbsuran?	男孩？還是女孩？你們之中誰才真正是老大？	The boy? Or the girl? Which of you is really the eldest?	Le garçon ? La fille qui de vous est vraiment l'ainé ?	KBSULAN
Isu ni yaku o, yaku ka qbsuran.	你和我之間，我是年長的。	Of you and me, I am the elder.	De toi et moi, c'est moi l'ainé.	KBSULAN
Spat kbkuy ni mrimal spat.	四百五十四。	Four hundred fifty-four.	Quatre cent cinquante quatre.	KBUKWI
Maxal spat kmbkiyan.	十四個百。	Fourteen hundreds.	Quatorze centaines.	KBUKWI
Kingal knbkiyan, ni kingal kbkuy ni maxal kingal.	一千一百一十一。	One thousand one hundred eleven.	Mille cent onze.	KBUKWI
Kndadax su inu ka mgrbu suni?	你今天早上是從哪裡出發的？	Where did you set out from this morning?	D'où es tu parti ce matin ?	KDADAX
Kmdamat nami sunan, mtgsa.	老師，我們向您問候（祝賀）。	We greet (congratulate) you, teacher.	Nous vous saluons (félicitons), professeur.	KDAMAT
Embahang kndmatan dha ka Iban o, …	Iban聽到他們的問候之後……	When Iban had heard their greetings.	Quand Ibanne eut entendu leurs salutations.	KDAMAT
Putung kdax.	以燧石、鐵和火絨取火的打火器。	The fire-striker with flint, steel and tinder.	Le briquet à silex et fer et amadou.	KDAX
Apay do, dhqan jiyax gdrgan na, mngdurug kingal laqi snaw.	至於阿拜，她臨盆的日子到了，便生下一個男孩。	As for Apai, her time to give birth having come, she brought a male child into the world.	Quant à Apai, son temps d'enfanter étant arrivé, elle mit au monde un enfant mâle.	KDOLO
Miyah bi mkpiya bitaq jiyax su gdrgan?	距離你分娩的日子還差幾天？	How many days are still left before the day of your delivery?	Il manque encore combien de jours pour arriver au jour de ton accouchement ?	KDOLO
Empshjil su ni empgdurug su kingal laqi snaw ni pthnganun su Yisu.	你將懷孕並生下一個男孩，（你）要給他起名（叫）耶穌。	You will conceive and you will bear a boy (whom) you will call (you will give the name) Jesus.	Tu concevras et tu enfanteras un garçon (que) tu appelleras (tu mettras nom) Jesus.	KDOLO
Ga mtqdrux hiya kana lblubuy sqmu.	所有的玉米袋都整齊地堆放在那邊。	All the sacks of maize are well stacked over there.	Tous les sacs de maïs sont bien empilés là bas.	KDOLOX
Ana ququ su tluung babaw qndrux!	你大可以坐在牆上。	You may very well sit on the wall.	Tu peux très bien t'asseoir sur le mur.	KDOLOX
Kingal nanak qndrxan na ka Wilang.	維朗築牆有一套非常特別的方法。	Wilang has an entirely special way of building a wall.	Ouilang a une façon toute spéciale de construire un mur.	KDOLOX
Qndrxan tama ni qndrxan laqi o, mgkala bi knsuyang ka ntama.	父親築的牆和兒子築的牆，還是父親那道更美（美得勝過一籌）。	Of the wall built by the father and the one built by the son, it is the father's that is the more beautiful (it surpasses in beauty).	Du mur construit par le père et de celui construit pas le fils, c'est celui du père qui est plus beau (il dépasse en beauté)	KDOLOX
Msdrux balay lnglungan na ka embrhug nami.	我們的頭目有一顆真正正直、忠誠的心。	Our chief has a truly upright, loyal heart.	Notre chef a un coeur vraiment intègre, loyal.	KDOLOX
Psdrxi ka lnglungan.	把你的良心導正。	Straighten your conscience.	Redresse ta conscience.	KDOLOX
Ini kla mita ana manu ka saw meetung dowriq.	眼睛失明的人什麼也看不見。	Those whose eyes are blind cannot see anything at all.	Ceux qui ont les yeux aveugles ne peuvent pas voir quoi que ce soit.	KETA
Mnita su ka tnbgan dha kumay?	他們養的那頭熊，你看過了嗎？	Have you seen the bear they are raising?	L'as tu vu l'ours qu'ils élèvent ?	KETA
Qtaun su hici.	你以後就會看到。	You will see later.	Tu verras plus tard.	KETA
Nita mu balay.	我真的看見了—我確實看見。	I really saw - I was really seeing.	J'ai vraiment vu - je voyais vraiment.	KETA
Qntaan mu balay.	這確實是我所看見的。	It is truly what I saw.	C'est vraiment ce que j'ai vu.	KETA
Taan mu o, hmut qhuni, uxay seejiq ka gaga.	就我所見，那邊只是木頭，不是人。	From what I see, that over there is only wood, and not a person.	D'après ce que je vois, ce n'est que du bois, là bas, et non pas une personne.	KETA
Malu bi taan.	很好看。	It is beautiful to see.	C'est beau à voir.	KETA
Qntaan mu shiga ka seejiq kiya.	你說的那個人，我昨天見過了。	I saw her yesterday, the person you are speaking of.	Je l'ai vue hier, la personne dont tu parles.	KETA
Paah hini o, taan balay ka sapah su.	從這裡可以清楚看見你的家。	From here, your house is quite visible.	Depuis ici, ta maison est bien visible.	KETA
Tluung kana ka dyamu brah, spqita namu saw mkbukuy.	前面的各位都請坐下，好讓後面的人（也）看得見。	Sit down, all you who are in front, so as to allow those who are behind to see (too).	Asseyez vous, tous ceux qui sont devant pour permettre à ceux qui sont derrière de voir (aussi).	KETA
Mkmita ku bi ka yaku uri! Ini ta kita ka ita o, hbaraw bi ka mqita.	我也好想看看！我們看不到，（可是）看得到的人真多。	I too would really like to see! We do not see, (but) those who see are many.	Je voudrais bien voir moi aussi ! Nous ne voyons pas (mais) ils sont nombreux ceux qui voient.	KETA
Ki do, saun mu mangal.	既然如此，我要去把它拿來。	If that is so, I want to go take it.	S'il en est ainsi, je veux aller le prendre.	KI
Mskuy bi ki da.	天氣實在冷得很！	It is decidedly very cold!	Décidément il fait bien froid !	KI
Ki bi ka biyax mu.	我的能耐就只有這樣了（我的力氣到此為止！）	That is really all I can do (my strength goes no further!)	Voilà bien tout ce que je peux (mes forces ne vont pas plus loin !)	KI
Miyah ku kiya ka yaku.	我嘛，待會兒再來。	I am coming later, myself.	Je viens plus tard, moi.	KIA
Uxay patas nii! Patas kiya.	不是這本書！是先前說到的那本書。	Not this book here! The book that was spoken of.	Non pas ce livre ci ! Le livre dont il a été question.	KIA
Mha su qmpah? … Kiya!	你要去工作嗎？……是啊！	Are you going to work? … Yes!	Tu vas travailler ? … Oui !	KIA
Kiya ka kiya.	話是這麼說，但是……—既然如此。	Agreed, but. - That being so.	D'accord mais … - Celà étant.	KIA
Kiya do.	既然這樣—接著。	If that is so - then.	S'il en est ainsi - ensuite.	KIA
Kiya da.	那就夠了—結束了。	That is enough - it is finished.	Celà suffit - c'est fini.	KIA
Kiya binaw.	啊，對了！—還有那件事。	Ah yes! - There is still that.	Ah oui ! - Il y a encore celà.	KIA
Kiya ni.	還有……。	And also.	Et aussi.	KIA
Malu su hu? … Ida kiya.	你好嗎？……還是老樣子！	Are you well? … It is still the same thing!	Tu vas bien ? … C'est toujours la même chose !	KIA
Malu su hu? … Ida nkiya.	你好嗎？……跟從前一樣。	Are you well? … It is the same as before.	Tu vas bien ? … C'est comme avant.	KIA
Aji bi ki da = Aji bi kida.	不！那不可能！	No! That is not possible!	Non ! Celà n'est pas possible !	KIDA
Aji bi kiya da.	那絕不可能是那個、那一位！	It absolutely cannot be that, that one there!	Ce ne peut absolument pas être celà, celui là !	KIDA
Ima kida?	到底是誰？—究竟會是誰呢？	Who then? - Whoever can it be?	Qui doc ? - De qui peut il bien s'agir ?	KIDA
Kii inu ka malu?	是哪一個好？（靠近哪裡的那個才好？）	Which one is good? (The one near where is it that is good?).	C'est lequel qui est bon ? (Celui qui est près de où, qui est bon ?).	KII
Ga qmpah kii bi sapah mu ka hiya.	他正在我家附近工作。	He is working right next to my house.	Il est en train de travailler tout près de ma maison.	KII
Maxal kingal.	十一。	Eleven.	Onze.	KINGAL
Kingal balay.	僅僅一個。	Only one.	Un seul.	KINGAL
Kingal nanak.	1) 僅一個=只有一個。2) 奇特—不尋常。	1) Only one = just one. 2) Odd - not ordinary.	1) Un seul = Seulement un. 2) Bizarre - pas ordinaire.	KINGAL
Kingal nanak ka kacing mu.	我只有一頭水牛。	I have only one buffalo.	Je n'ai qu'un buffle.	KINGAL
Kingal nanak ka kacing mu.	我的水牛很特別—我的水牛很奇特。	My buffalo is special - my buffalo is odd.	Il est spécial mon buffle - Il est bizarre, mon buffle.	KINGAL
Mnkingal ku bi gmneeguy pila.	我只偷過一次錢。	I stole money only once.	Je n'ai volé de l'argent qu'une seule fois.	KINGAL
Ma namu mssikul! Ida pnkingal ka empniqun namu.	你們擠什麼擠？反正每人都會有一份。	Why are you jostling one another? In any case you will each get one.	Qu'est ce que vous avez à vous bousculer ? De toute façon vous en aurez chacun un.	KINGAL
Pnkingal ta bi tasil kana.	我們每人各拿一塊石頭吧。	Let each of us take a stone.	Prenons chacun une pierre.	KINGAL
Ungat bi hiyi ka payay mu! Wana bi knkingal.	我的稻子都不結穗，只零零星星、東一株西一株。	My rice plants have no grain, barely one here and there.	Mes plants de riz n'ont pas de grains, à peine l'un ou l'autre, par ci par là.	KINGAL
Knkingal namu bi ka mniyah pririh kusa na.	你們當中只有寥寥幾人來還債。	Barely one or another of you has come to pay (back) his debts.	A peine l'un ou l'autre d'entre vous est venu payer (rendre) ses dettes.	KINGAL
Mskingal bi lnglungan kana ka dhiya.	他們全都同心（他們只有一顆心）。	They all stand together (they have but one heart).	Ils sont tous solidaires (ils n'ont qu'un seul coeur).	KINGAL
Nduwa bi pskingal lnglungan su.	務要使你的心思、你的計畫合一（不要同時懷著好幾個計畫）。	See to it that you unify your thought, your plan (so as not to have several plans at once).	Fais en sorte d'unifier ta pensée, ton projet (de ne pas avoir plusieurs projets à la fois).	KINGAL
Skngalun ta lnglungan nhari.	我們趕快取得共識吧。	Let us quickly come to an agreement.	Mettons nous vite d'accord.	KINGAL
Sndha ka hiraw ni snkingal bi ka sapaw mu.	我上面蓋了兩層被子，但底下只鋪了一層。	I have a double blanket on top but only a single one underneath.	J'ai une double couverture par dessus mais je n'en ai qu'une par dessous.	KINGAL
Snkingal ku mangal; skngali bi mapa ka isu uri.	我一次全拿走；你也一次把全部背走吧。	I take it all in one go; you too, carry everything in one go.	Je prends en une seule fois ; porte tout en une fois toi aussi.	KINGAL
Ya keisug! Ini ku ekan seejiq!	別怕！我不吃人！（參見 ISO＝詞根？）	Don't be afraid! I don't eat anyone! (See ISO = root?)	N'aie pas peur ! Je ne mange personne ! (Vr. ISO = R ?)	KISO
Misu ku musa sapah! Mksaang bi ka tama mu!	我不敢回家！爸爸正在氣頭上！	I am afraid to go home! Dad is in a bad mood!	J'ai peur de rentrer (chez moi) ! Papa est de mauvaise humeur !	KISO
Manu bi ka ksgun (ksugun) su?	你到底怕什麼（是什麼讓你害怕？）。	What are you afraid of (what is it that frightens you?).	De quoi as tu peur (qu'est ce qui te fait peur ?).	KISO
Isu bi kingal ka ksgun mu balay.	你確實是我唯一真正害怕的人。	You are truly the only one I really fear.	Tu es bien le seul que je craigne vraiment.	KISO
Mnhuqil asaw knsgan na ka Tunun.	Tunun 嚇死了。	Tunun died of fright.	Tounoun est mort de peur.	KISO
Ya usa! Mha su cseisug nanak.	別去！你只會嚇壞自己而已。	Don't go! You will only end up terrified.	Ne va pas ! Tu ne réussiras qu'à être apeuré.	KISO
Saw smeisug bi taan ka dowriq su!	你的眼神看起來很嚇人。	Your gaze is frightening to look at.	Ton regard est effrayant à voir.	KISO
Ungat pdkaan ka knssgan niya.	那可怕得無與倫比！	It is incomparably frightening!	C'est incomparablement effrayant !	KISO
Uxay psgun ka laqi! Ini ta tduwa hmut pseisug dhyaan.	小孩不是拿來嚇的！不可以隨便嚇唬小孩。	A child is not to be frightened! One must not frighten children lightly.	L'enfant n'est pas à effrayer ! Il ne faut pas effrayer les enfants à la légère.	KISO
Paru qrasun jiyax do, mkiyux ta balay kska sapah haduran.	每逢大節慶的日子，我們的教堂裡真的擠得水洩不通。	On days of great celebration, we are really packed very tightly in our church.	Aux jours de grande fête, nous sommes vraiment très serrés dans notre église.	KIYUX
Pkiyux balay ka tqian ta.	我們睡覺的地方非常狹窄（我們彼此緊貼著擠在一起）。	We are very cramped (we press against one another) in the place where we sleep.	Nous sommes très à l'étroit (nous nous pressons les uns contre les autres) dans l'endroit où l'on dort.	KIYUX
Pkyuxi cicih ka dyamu brah, hbaraw seejiq ka ini tmay.	前面的人稍微擠一擠，還有很多人沒進來。	Squeeze together a little, those of you in front; there are many people who have not yet come in.	Serrez vous un peu, ceux qui sont devant, il y a beaucoup de gens qui ne sont pas rentrés.	KIYUX
Tayal bi pkyuxan ka pnpaan ta tdruy suni.	哎呀！我們剛才搭的火車上人真是多得不得了！	My goodness! What a crowd there was on the train we took just now!	Oh la la ! Quel monde il y avait sur le train que nous avons pris tout à l'heure !	KIYUX
Mkribul ku nii o, Suqi tkiyux bi da.	我要是穿上這條褲子，實在是太緊了。	If I put on these trousers, they are really far too tight.	Si je mets ces pantalons, c'est vraiment trop à l'étroit.	KIYUX
Qlhangi bi qmlqah muda namu elug; niqan quyu da.	走路時要小心腳下踩的地方，有蛇。	Watch carefully where you put your feet as you walk; there are snakes.	Faites bien attention où vous mettez les pieds en marchant, Il y a des serpents.	K'KAX
Ima ka mnqlqah pnspaan mu.	是誰踩過我的稻苗田？參見 KNKAX。	Who is it that walked in my rice seedbed? See KNKAX.	Qui est ce qui a marché dans mon semis de riz ? Vr. KNKAX.	K'KAX
Kla saw kiya ka qnnaqih lnglungan su!	啊，原來你的心竟是這麼壞！	Ah, so that is how it is — you have a wicked heart!	Ah c'est comme celà que tu as un coeur mauvais !	K'LA
Mkla su bi kari truku ka isu.	你太魯閣語說得真好！	You certainly know how to speak Taroko!	Tu sais bien parler taroko, toi !	K'LA
Mkla su musa maduk?	你會（有能力）去打獵嗎？	Do you know how (are you able) to go hunting?	Sais tu (es tu capable d') aller à la chasse ?	K'LA
Wada? Ini hu? Ima mkla!	他走了嗎？還沒走嗎？誰知道呢！	Has he left? Has he not left? Who knows!	Il est parti ? Il n'est pas parti ? Qui le sait !	K'LA
Kari na nii o, kkla su elug ddaun.	他剛才說的話，是為了讓你清楚知道該走的路。	What he has just said is so that you may know well the road to follow.	Ce qu'il vient de dire, c'est pour que tu saches bien la route à suivre.	K'LA
Aji su klaun ka seejiq kiya.	你不該認識那個人。	You must not know that person.	Tu ne dois pas connaître cette personne là.	K'LA
Klaun su bi ka kari mu?	你清楚明白我說的話嗎？	Do you understand well what I am saying?	Sais tu bien ce que je dis ?	K'LA
Mnkla ku bi kari truku seuxal.	從前，在過去，我太魯閣語說得很好。	In the old days, once upon a time, I could speak Taroko well.	Autrefois, dans le temps, je savais bien parler taroko.	K'LA
Nklaan su ka Hiya?	你以前認識他嗎？（他屬於你所知道的範圍嗎？）。	Did you know him? (Was he part of what you knew?).	Tu le connaissais ? (Il faisait partie de ce que tu savais ?).	K'LA
Miyah pkla sunan ka saw nlnglungan seejiq.	我來告訴你人們的想法。	I have come to let you know what people are thinking.	Je viens te faire savoir ce que pensent les gens.	K'LA
Psaun misu matas iyux ku pgkla sunan (su?) kana ka kngkla nbabaw dxgal.	我要讓你讀書，想讓你認識世上所有的學問。	I will have you study, wishing to make known to you all the sciences of the earth.	Je te ferai étudier voulant te faire connaitre toutes les sciences de la terre.	K'LA
Saw kiya do, pgklanay maku munan ka balay bi do, saun mu mangal ka hiya.	既然如此，為了讓你們知道這是千真萬確的，我要去把它拿來。	So (if that is how it is), to let you know that it is really true, I want to go and fetch it.	Aussi (s'il en est ainsi), pour vous faire savoir que c'est vraiment vrai, je veux aller le chercher.	K'LA
Tayal knkla su.	你懂得真多！（或：你的見識真廣！）。	How much you know! (var. How knowledgeable you are!).	Comme tu sais bien ! (vl. Comme tu en sais long !).	K'LA
Ungat pdkaan ka kngkla su.	你的學問無與倫比。	Your knowledge is exceptional.	Ta science est exceptionnelle.	K'LA
Mnssli sapah na kana ka llingay ni gnkla na.	他所有的鄰居和熟人都聚集在他家裡。	All his neighbours and acquaintances gathered in his house.	Tous ses voisins et ses connaissances se sont réunis dans sa maison.	K'LA
Snkla ku hari tnjyalan dha.	我剛好及時趕到，得以（看到、參與）他們的打鬥。	I arrived just in time to (see, take part in) their fight.	Je suis arrivé juste assez tôt pour (voir, participer à) leur combat.	K'LA
Wada suni ka hiya, aji su sklaun da.	他剛剛才走；你追不上他了。（應區分：Smk'la 與 Smkila。Smk'la＝趕上；Smkila＝習慣、感到自在；）	He left just a moment ago; you will not manage to catch up with him. (To be distinguished: Smk'la and Smkila. Smk'la = to catch up; Smkila = to get used to, to feel at home;)	Il est parti tout à l'heure, lui ; Tu n'arriveras pas à le rattraper. (A distinguer : Smk'la, et : Smkila. Smk'la = rattraper ; Smkila = S'habituer, se plaire ;)	K'LA
Smkila ku sapah su.	我在你家覺得很自在。	I feel very much at home at your place.	Je me plais bien chez toi.	K'LA
Ungat bi ka ini na tnklai ka Tama ta.	對我們的天父而言，沒有任何事是不可能的。	There is nothing that is impossible for our Father.	Il n'est rien qui soit impossible à notre Père.	K'LA
Paani bi ka tasil nii hu? … Aji mu tnklaun.	你來搬搬看這塊石頭……我搬不動（這對我來說不可能）。	Just try carrying this stone... I will not manage it (it is not possible for me).	Porte donc un peu cette pierre … Je n'y arriverai pas (ce n'est pas possible pour moi).	K'LA
Mkray bi ka tunux mu.	1）我的頭很硬；2）我學東西很吃力。	1) my head is hard; 2) I have trouble learning.	1) ma tête est dure ; 2) J'ai du mal d'apprendre.	K'LAE
Mkray brigan ka hiyi siyang.	豬肉（肥肉）很貴。	Pork (fat pork) is expensive.	La viande de porc (le lard) est chère.	K'LAE
Mkray bi lnglungan na.	他很有毅力——他不會心軟。	He is persevering - he does not let himself be softened.	Il est persévérant - Il ne se laisse pas attendrir.	K'LAE
Pkray cicih papak su.	把你的腳站穩一點。	Steady your foot a little.	Affermis un peu ton pied.	K'LAE
Pkrayun mu kiya.	我待會兒就把它弄穩固。	I will steady it in a moment.	Je l'affermirai dans un moment.	K'LAE
Wada wada ka knkrayan hiyi siyang.	豬肉的價格不斷上漲。	The price of pork keeps on rising.	La cherté de la viande de porc ne cesse pas d'augmenter.	K'LAE
Dha tasil nii o, ini pndka ka knkrayan dha.	這兩塊石頭的硬度不一樣。	These two stones do not have the same hardness.	Ces deux pierres n'ont pas la même dureté.	K'LAE
Tkkray bi ka lnglungan namu.	你們的心非常剛硬。	Your heart is very hardened.	Votre coeur est très endurci.	K'LAE
Rngagan mu o, kika (kiya ka) hiya! Qrap!	我對他說過話的那個人，就是他！抓住他！	The one I will have spoken to, that is the one! Seize him!	Celui à qui j'aurai parlé, c'est celui là ! Attrapez le !	K'LAP
Qrapun misu kiya.	我一定會抓到你！	I will surely catch you!	Je t'attraperai bien !	K'LAP
Qraqil bi manu ka lukus su?	你的衣服是用哪種皮做的？	What kind of skin is your garment made of?	Ton habit est en quelle sorte de peau ?	KLAQEL
Ya qdaani ka qraqil kacing su; brigun mu.	別把你的水牛皮丟掉；我要拿去賣。	Do not throw away your buffalo hide; I want to sell it.	Ne jette pas ta peau de buffle ; je veux la vendre.	KLAQEL
Ga kmlawa ka rudux mu.	我的母雞正在孵蛋。	My hen is brooding.	Ma poule couve.	KLAWA
Kmlawa ku lqlaqi, han; klwaun mu saman ka rsrisaw ni uwa da.	目前我先照顧孩子們；明天我再照顧男孩和女孩。	For the moment I am looking after the children; tomorrow I will look after the boys and the girls.	Pour le moment je m'occupe des enfants ; Je m'occuperai demain des garçons et des filles.	KLAWA
Ima ka pusu bi mklawa sapah ptasan namu?	你們學校的主要負責人是誰？	Who is the head administrator of your school?	Qui est l'administrateur en chef de votre école ?	KLAWA
Paru hari ka klwaan mu.	我所管轄的地區相當大。	The territory I am responsible for is quite large.	Il est assez important le territoire dont je suis responsable.	KLAWA
Knlwaan Pihu seuxal ka suyang balay.	從前 Pihu 的治理（管理）才是最出色的。	It was Pihu's governance (administration) in the old days that was excellent.	C'est la conduite (l'administration) de Perho autrefois qui était excellente.	KLAWA
Saun mu pklawa laqi sapah Agil.	我要把孩子送到 Agil 家請她照顧。	I want to go and place my child at Agil's house to have her look after him.	Je veux aller mettre mon enfant chez Aguil pour le faire garder.	KLAWA
Hmut lala bi klgan klaway ka mkealang Taywan.	在台灣，有非常多種不同的蝴蝶。	In Taiwan, a very great number of different butterflies.	A Taiwan, un très grand nombre de papillons différents.	KLAWAI
Ini su krawah hiyi su ka isu.	你，你犧牲自己（你不吝惜自己的身體）。	You, you sacrifice yourself (you are not sparing of your body).	Toi, tu te sacrifies (tu n'es pas regardant de ton corps).	KLAWAX
Ini na krwahi pdka sunan.	他不拒絕與你平起平坐（他不覺得被拿來和你相比有何難堪）。	He does not refuse to be your equal (he does not feel embarrassed at being compared to you).	Il ne refuse pas d'être ton égal (il ne se sent pas gêné d'être comparé à toi).	KLAWAX
Mkrawah bi pila na ka Lauken.	Lauken非常吝惜他的錢。	Lauken is very careful with his money.	Lauken est bien regardant de ses sous.	KLAWAX
Qlahang bi muda elug.	在路上要警覺。	Be vigilant on the road.	Sois vigilant sur la route.	KLAXANG
Muda dowras o, asi ka qmlahang.	經過岩石地帶時，必須小心留神。	When passing through the rocks, one must be attentive.	En passant dans les rochers, il s'agit d'être attentifs.	KLAXANG
